text,Depressed,sleep_hours,mood,workload
I feel exhausted after long mission tasks,1,6,2,7
Energy improving after better sleep,0,7,3,3
Mission was productive but draining,0,6,2,6
"Hard to focus today, very tired",1,4,3,9
Completed tasks but feeling worn out,1,4,4,7
Short rest helped a little,0,6,5,4
Completed tasks but feels worn out,1,6,2,5
Energy improving after better sleep,0,8,3,5
Mission was productive but draining,0,7,2,9
I feel exhausted following long mission tasks,1,4,1,6
"Hard to focus today, very tired",1,4,1,7
Short rest helped a little,0,5,3,6
Feeling stable and alert today,0,9,5,2
Mission was productive but draining,0,7,2,6
Feeling stable and alert this morning,0,8,5,2
Short rest helped a little,0,7,4,7
Mission was productive but draining,0,7,2,5
Good focus during system checks,0,6,5,3
"Hard to focus today, very tired",1,3,1,9
Short rest helped a little,0,6,3,6
Good focus during system checks,0,8,5,7
"Hard to focus today, very tired",1,4,2,10
I feel exhausted following long mission tasks,1,4,2,9
Short rest helped a little,0,5,3,7
Mission was productive but draining,0,7,4,7
Mission was productive but draining,0,6,4,6
Energy improving after better sleep,0,6,4,6
Feeling stable and alert today,0,7,5,4
Completed tasks but feeling worn out,1,6,2,9
Completed tasks but feeling worn out,1,6,4,6
Feeling stable and alert today,0,9,5,6
Short rest helped a little,0,5,5,6
Mission was productive but draining,0,5,4,9
"Hard to focus this morning, very tired",1,3,3,10
Energy improving after better sleep,0,8,5,5
Good focus during system checks,0,8,5,5
I feel exhausted after long mission tasks,1,6,2,8
Feeling stable and alert this morning,0,8,4,5
Completed tasks but feeling worn out,1,6,3,6
I feel exhausted following long mission tasks,1,6,2,6
Completed tasks but feeling worn out,1,4,4,7
Short rest helped a little,0,7,3,7
Mission was productive but draining,0,7,2,9
Completed tasks but feeling worn out,1,4,2,9
Completed tasks but feeling worn out,1,5,4,8
Good focus during system checks,0,8,5,7
Good focus during system checks,0,7,5,4
Good focus during system checks,0,6,5,6
Short rest helped a little,0,5,5,8
Completed tasks but feeling worn out,1,4,2,9
Short rest helped a little,0,6,4,7
Short rest helped a little,0,7,4,8
"Hard to focus today, very tired",1,5,3,9
Feeling stable and alert today,0,7,5,5
I feel exhausted after long mission duties,1,4,2,6
Feeling stable and alert today,0,9,4,4
Short rest helped a little,0,5,4,5
I feel exhausted after long mission tasks,1,4,2,8
Completed tasks but feeling worn out,1,5,3,8
I feel exhausted after long mission duties,1,4,1,8
Completed tasks but feeling worn out,1,6,4,9
Energy improving after better sleep,0,8,5,5
Mission was productive but draining,0,5,3,6
"Hard to focus today, very tired",1,4,1,9
Mission was productive but draining,0,7,4,8
Energy improving after better sleep,0,8,4,3
Short rest helped a little,0,7,3,8
Mission was productive but draining,0,6,3,7
Short rest helped a little,0,5,3,8
I feel exhausted after long mission tasks,1,4,3,6
"Hard to focus today, very tired",1,4,1,9
Energy improving after better sleep,0,7,5,7
Completed duties but feeling worn out,1,4,4,6
Feeling stable and alert today,0,9,4,4
Good focus during system checks,0,6,5,4
Short rest helped a little,0,5,3,8
Short rest helped a little,0,7,3,7
Feeling stable and alert today,0,8,5,5
Feeling stable and alert today,0,8,5,5
Feeling stable and alert today,0,8,4,6
Completed tasks but feeling worn out,1,5,4,8
Mission was productive but draining,0,5,4,5
I feel exhausted after long mission tasks,1,4,1,10
"Hard to focus this morning, very tired",1,5,3,8
Completed tasks but feeling worn out,1,6,2,8
Good focus during system checks,0,8,5,6
Completed tasks but feels worn out,1,6,2,6
Short rest helped a little,0,5,4,6
Mission was productive but draining,0,5,3,5
Mission was productive but draining,0,5,3,7
Energy improving after better sleep,0,8,3,6
Good focus during system checks,0,6,4,4
I feel exhausted following long mission tasks,1,5,2,9
Feeling stable and alert this morning,0,8,4,6
Mission was productive but draining,0,6,3,5
I feel exhausted after long mission tasks,1,4,2,10
I feel exhausted after long mission tasks,1,6,1,7
"Hard to focus today, very tired",1,3,2,10
Completed tasks but feeling worn out,1,5,3,7
Energy improving after better sleep,0,6,3,3
Completed tasks but feeling worn out,1,6,4,5
"Hard to focus this morning, very tired",1,4,3,10
Good focus during system checks,0,6,4,7
"Hard to focus today, very tired",1,3,3,10
Completed tasks but feeling worn out,1,4,4,9
I feel exhausted after long mission tasks,1,6,2,9
I feel exhausted after long mission tasks,1,6,2,6
Feeling stable and alert this morning,0,9,5,4
Mission was productive but draining,0,5,3,5
Short rest helped a little,0,5,5,5
Short rest helped a little,0,6,4,4
"Hard to focus today, very tired",1,4,3,8
Energy improving following better sleep,0,8,5,3
Good focus during system checks,0,8,5,5
I feel exhausted after long mission tasks,1,4,3,9
Short rest helped a little,0,7,3,6
Short rest helped a little,0,5,3,7
Short rest helped a little,0,6,4,4
Feeling stable and alert today,0,7,5,4
"Hard to focus today, very tired",1,3,2,9
"Hard to focus today, very tired",1,3,2,7
"Hard to focus today, very tired",1,5,2,10
Feeling stable and alert today,0,9,5,4
Completed tasks but feeling worn out,1,4,2,8
Mission was productive but draining,0,6,4,5
I feel exhausted following long mission tasks,1,4,1,7
Completed tasks but feeling worn out,1,6,3,9
Mission was productive but draining,0,5,4,5
"Hard to focus today, very tired",1,4,3,10
Completed tasks but feeling worn out,1,4,2,7
Energy improving after better sleep,0,8,5,6
Good focus during system checks,0,7,4,7
Energy improving after better sleep,0,8,4,5
"Hard to focus today, very tired",1,4,3,8
Mission was productive but draining,0,6,4,9
"Hard to focus today, very tired",1,5,3,10
Mission was productive but draining,0,7,2,5
Short rest helped a little,0,6,3,7
Feeling stable and alert today,0,8,5,4
Mission was productive but draining,0,5,3,5
Mission was productive but draining,0,5,4,9
Short rest helped a little,0,7,5,7
I feel exhausted following long mission tasks,1,4,3,9
Feeling stable and alert today,0,7,4,5
Mission was productive but draining,0,7,2,9
Good focus during system checks,0,6,5,5
I feel exhausted following long mission tasks,1,6,2,7
Feeling stable and alert today,0,7,4,3
Energy improving after better sleep,0,8,4,7
Energy improving after better sleep,0,6,4,4
I feel exhausted after long mission duties,1,4,1,6
"Hard to focus this morning, very tired",1,5,2,9
Mission was productive but draining,0,5,2,9
Energy improving after better sleep,0,7,4,6
Good focus during system checks,0,6,5,6
Mission was productive but draining,0,7,3,7
Completed duties but feeling worn out,1,4,4,8
"Hard to focus today, very tired",1,3,1,7
Feeling stable and alert today,0,9,5,3
Completed tasks but feels worn out,1,4,3,5
Good focus during system checks,0,7,4,3
I feel exhausted after long mission tasks,1,4,1,9
Feeling stable and alert today,0,7,5,5
Completed tasks but feeling worn out,1,6,2,6
Energy improving after better sleep,0,6,3,7
Mission was productive but draining,0,7,4,6
I feel exhausted after long mission tasks,1,4,2,8
"Hard to focus today, very tired",1,4,1,8
"Hard to focus today, very tired",1,4,3,8
Energy improving after better sleep,0,6,4,4
I feel exhausted following long mission tasks,1,6,2,6
Energy improving following better sleep,0,7,4,5
Good focus during system checks,0,8,5,5
Short rest helped a little,0,5,4,4
I feel exhausted following long mission tasks,1,6,2,9
Good focus during system checks,0,6,5,6
I feel exhausted after long mission tasks,1,4,2,7
Completed tasks but feeling worn out,1,6,3,8
Feeling stable and alert this morning,0,9,4,5
Mission was productive but draining,0,6,2,7
Completed tasks but feeling worn out,1,5,3,6
Mission was productive but draining,0,7,3,7
Short rest helped a little,0,7,4,5
Good focus during system checks,0,8,4,3
Completed tasks but feeling worn out,1,5,3,7
Good focus during system checks,0,7,5,3
Energy improving after better sleep,0,7,3,4
Mission was productive but draining,0,5,3,9
"Hard to focus today, very tired",1,4,3,10
Short rest helped a little,0,7,3,8
Short rest helped a little,0,5,4,8
Good focus during system checks,0,7,4,7
"Hard to focus today, very tired",1,5,3,10
"Hard to focus today, very tired",1,5,3,10
Feeling stable and alert today,0,9,4,6
Short rest helped a little,0,6,4,7
Good focus during system checks,0,6,5,3
Short rest helped a little,0,5,5,6
Short rest helped a little,0,7,4,6
"Hard to focus today, very tired",1,5,2,10
Good focus during system checks,0,8,5,3
Feeling stable and alert today,0,7,4,6
I feel exhausted after long mission tasks,1,6,2,8
Feeling stable and alert today,0,7,5,4
Mission was productive but draining,0,6,3,9
I feel exhausted following long mission tasks,1,6,3,8
Good focus during system checks,0,6,4,7
Short rest helped a little,0,6,4,5
Short rest helped a little,0,7,5,8
Completed duties but feeling worn out,1,4,3,7
Energy improving after better sleep,0,8,3,6
Short rest helped a little,0,5,4,7
I feel exhausted after long mission tasks,1,6,3,8
Mission was productive but draining,0,6,2,6
I feel exhausted after long mission duties,1,6,2,9
Good focus during system checks,0,7,5,4
Mission was productive but draining,0,7,3,8
Good focus during system checks,0,6,4,3
Energy improving after better sleep,0,6,5,4
Feeling stable and alert today,0,7,4,4
Good focus during system checks,0,7,4,7
I feel exhausted after long mission tasks,1,5,2,10
Short rest helped a little,0,6,4,6
Energy improving after better sleep,0,8,3,5
Feeling stable and alert today,0,7,4,3
I feel exhausted after long mission tasks,1,5,1,6
Short rest helped a little,0,6,3,6
Good focus during system checks,0,8,4,5
"Hard to focus this morning, very tired",1,3,1,8
Mission was productive but draining,0,7,2,8
Completed tasks but feeling worn out,1,6,3,7
"Hard to focus today, very tired",1,4,2,7
Good focus during system checks,0,6,5,7
Short rest helped a little,0,5,4,8
Completed duties but feeling worn out,1,5,2,8
Short rest helped a little,0,6,5,5
Feeling stable and alert today,0,9,4,6
Mission was productive but draining,0,7,2,7
Short rest helped a little,0,5,3,7
I feel exhausted following long mission tasks,1,5,1,7
"Hard to focus today, very tired",1,4,2,9
Good focus during system checks,0,6,4,6
Good focus during system checks,0,8,5,6
Mission was productive but draining,0,7,2,7
Feeling stable and alert today,0,7,5,5
Short rest helped a little,0,7,5,7
Completed tasks but feels worn out,1,6,4,7
I feel exhausted after long mission tasks,1,4,3,8
Good focus during system checks,0,6,5,6
"Hard to focus today, very tired",1,4,1,10
I feel exhausted after long mission tasks,1,6,2,10
Energy improving following better sleep,0,7,4,7
"Hard to focus this morning, very tired",1,4,2,7
Energy improving after better sleep,0,8,3,5
Mission was productive but draining,0,5,4,5
Energy improving after better sleep,0,8,4,5
Good focus during system checks,0,6,5,4
I feel exhausted after long mission tasks,1,4,1,7
Completed duties but feeling worn out,1,5,3,6
Feeling stable and alert today,0,9,4,6
Feeling stable and alert today,0,8,5,3
Short rest helped a little,0,7,5,5
I feel exhausted after long mission tasks,1,4,1,7
Energy improving after better sleep,0,6,4,6
Short rest helped a little,0,6,3,7
Mission was productive but draining,0,7,2,8
Completed tasks but feeling worn out,1,6,4,7
Energy improving following better sleep,0,6,3,5
"Hard to focus today, very tired",1,4,1,10
Mission was productive but draining,0,7,3,7
Feeling stable and alert this morning,0,9,5,4
Energy improving after better sleep,0,6,3,4
Energy improving after better sleep,0,8,5,4
Feeling stable and alert today,0,8,4,6
"Hard to focus today, very tired",1,5,2,10
Feeling stable and alert today,0,7,5,2
Good focus during system checks,0,8,4,4
Feeling stable and alert this morning,0,7,4,4
Completed tasks but feeling worn out,1,5,3,9
Completed tasks but feeling worn out,1,6,3,7
Good focus during system checks,0,8,5,3
Completed duties but feeling worn out,1,4,3,6
Good focus during system checks,0,7,4,3
Feeling stable and alert today,0,9,5,2
"Hard to focus today, very tired",1,3,2,8
Good focus during system checks,0,6,5,7
Feeling stable and alert today,0,9,4,3
Mission was productive but draining,0,7,2,7
Feeling stable and alert today,0,9,5,4
I feel exhausted after long mission duties,1,4,3,9
Feeling stable and alert today,0,7,5,4
Feeling stable and alert today,0,8,5,2
Short rest helped a little,0,7,5,4
Feeling stable and alert today,0,8,5,6
Short rest helped a little,0,7,5,8
I feel exhausted after long mission tasks,1,5,3,8
Good focus during system checks,0,6,5,3
Short rest helped a little,0,6,5,5
I feel exhausted after long mission tasks,1,6,2,10
I feel exhausted following long mission tasks,1,6,3,9
I feel exhausted after long mission tasks,1,5,2,10
Completed tasks but feeling worn out,1,6,3,7
Good focus during system checks,0,7,5,7
I feel exhausted after long mission duties,1,5,2,9
I feel exhausted following long mission tasks,1,6,3,8
Mission was productive but draining,0,5,2,8
I feel exhausted after long mission duties,1,6,2,7
Short rest helped a little,0,5,4,5
Completed tasks but feeling worn out,1,6,3,6
Completed tasks but feeling worn out,1,6,4,5
I feel exhausted after long mission tasks,1,4,1,8
